id,age_group,gender,self_pref_roast,A_pref,B_pref,C_pref,D_pref,fav_sample
7d97lZ,25-34 years old,Female,Dark,2.0,4.0,3.0,2.0,Coffee B
0EjqPQ,25-34 years old,Male,Light,2.0,2.0,3.0,5.0,Coffee D
BGbJD4,25-34 years old,Male,Light,5.0,4.0,2.0,3.0,Coffee A
9dJYbp,25-34 years old,Male,Light,5.0,3.0,2.0,1.0,Coffee D
xdNbJ9,25-34 years old,Male,Medium,4.0,3.0,3.0,5.0,Coffee D
EPbVLl,45-54 years old,,Italian,1.0,4.0,5.0,,Coffee C
pLPNQJ,35-44 years old,Female,Medium,5.0,4.0,3.0,1.0,Coffee A
AlbMLW,25-34 years old,Male,Light,4.0,2.0,2.0,5.0,Coffee D
EPboPq,25-34 years old,Male,Medium,4.0,5.0,2.0,1.0,Coffee C
ylq8yW,25-34 years old,Male,Light,2.0,3.0,5.0,3.0,Coffee C
J2kEDz,45-54 years old,Male,Medium,4.0,2.0,1.0,2.0,Coffee A
24x9Lg,25-34 years old,Male,Light,3.0,2.0,3.0,5.0,Coffee D
0EjYb6,35-44 years old,Male,Light,2.0,2.0,4.0,5.0,Coffee D
ZdRb6a,25-34 years old,Male,Medium,3.0,2.0,4.0,5.0,Coffee D
WApbdP,25-34 years old,Male,Light,2.0,2.0,3.0,4.0,Coffee D
24xY69,18-24 years old,Male,Medium,1.0,4.0,5.0,2.0,Coffee C
RzBqWd,25-34 years old,Male,Light,4.0,2.0,3.0,5.0,Coffee D
RzBqLv,25-34 years old,Male,Medium,4.0,3.0,4.0,2.0,Coffee A
oAV8d5,35-44 years old,Male,Medium,3.0,4.0,5.0,2.0,Coffee C
oAV8OM,25-34 years old,Male,Light,4.0,3.0,1.0,5.0,Coffee D
AlbYyW,25-34 years old,Male,Light,4.0,3.0,2.0,5.0,Coffee D
KMB4kk,25-34 years old,Female,Light,2.0,5.0,4.0,1.0,Coffee B
42N0Kd,18-24 years old,Male,Medium,3.0,5.0,4.0,1.0,Coffee B
0Ej0VZ,25-34 years old,Female,Medium,4.0,3.0,2.0,4.0,Coffee A
rlrQQo,35-44 years old,Female,Dark,3.0,3.0,4.0,1.0,Coffee C
vNx84X,35-44 years old,Male,Light,5.0,4.0,4.0,2.0,Coffee A
OABxLk,25-34 years old,Male,Light,5.0,1.0,2.0,4.0,Coffee A
MAd2V0,25-34 years old,Male,Dark,3.0,5.0,4.0,1.0,Coffee B
8dpbGk,25-34 years old,Male,Nordic,4.0,3.0,2.0,3.0,Coffee A
zKQ8ja,25-34 years old,Male,Medium,4.0,4.0,3.0,4.0,Coffee A
YZzBLJ,35-44 years old,Female,Medium,1.0,3.0,3.0,2.0,Coffee C
QABNdl,25-34 years old,Male,Medium,2.0,4.0,3.0,1.0,Coffee B
8dpbko,25-34 years old,Male,Light,5.0,5.0,2.0,3.0,Coffee B
XeB6Ee,25-34 years old,Male,Light,5.0,2.0,1.0,4.0,Coffee A
KMBroK,25-34 years old,Female,Medium,2.0,5.0,1.0,4.0,Coffee B
24x9rg,35-44 years old,Male,Light,4.0,3.0,2.0,5.0,Coffee D
dY2JjD,25-34 years old,Male,Light,4.0,3.0,2.0,5.0,Coffee D
LdMjyz,18-24 years old,Male,Medium,3.0,5.0,4.0,5.0,Coffee D
9dJYM1,55-64 years old,Male,French,1.0,3.0,4.0,5.0,Coffee D
kYR4rj,25-34 years old,Male,Medium,2.0,3.0,4.0,1.0,Coffee C
pLPN7q,35-44 years old,Male,Light,4.0,2.0,2.0,5.0,Coffee D
6dQ0eO,25-34 years old,Male,Medium,3.0,4.0,3.0,1.0,Coffee B
42NlLd,25-34 years old,Male,Medium,3.0,5.0,4.0,3.0,Coffee D
LdMxaj,25-34 years old,Male,Medium,5.0,3.0,1.0,4.0,Coffee A
BGbJZ4,35-44 years old,Male,Blonde,5.0,3.0,2.0,4.0,Coffee A
J2kER7,55-64 years old,Male,Dark,1.0,3.0,2.0,2.0,Coffee B
eBxgQO,25-34 years old,Male,Italian,5.0,4.0,2.0,5.0,Coffee A
J2kELz,25-34 years old,Non-binary,Medium,1.0,4.0,3.0,4.0,Coffee B
LdMjqJ,35-44 years old,Male,Light,4.0,4.0,3.0,5.0,Coffee A
oAVNeM,45-54 years old,Male,Medium,4.0,3.0,4.0,2.0,Coffee C
oAVZ95,35-44 years old,Male,Light,3.0,2.0,4.0,5.0,Coffee D
eBxGvE,25-34 years old,Non-binary,Light,4.0,2.0,3.0,5.0,Coffee D
g5NPYO,25-34 years old,Male,Medium,5.0,2.0,4.0,3.0,Coffee A
xdNbxo,45-54 years old,Female,Light,5.0,4.0,4.0,1.0,Coffee A
zKQ8ZZ,35-44 years old,Male,Light,4.0,3.0,3.0,5.0,Coffee D
rlrQxl,25-34 years old,Prefer not to say,Light,5.0,1.0,3.0,5.0,Coffee D
VZ1W8N,25-34 years old,,Medium,3.0,1.0,5.0,3.0,Coffee C
WAp6PN,25-34 years old,Male,Medium,3.0,5.0,4.0,1.0,Coffee B
DVvo9l,25-34 years old,Male,Medium,2.0,5.0,4.0,5.0,Coffee D
ylqAdB,>65 years old,Male,French,1.0,5.0,4.0,2.0,Coffee B
rlrQP2,25-34 years old,,Light,2.0,1.0,3.0,4.0,Coffee D
EPbo0L,35-44 years old,Male,Medium,3.0,4.0,3.0,2.0,Coffee C
ylqAY6,25-34 years old,Male,Medium,3.0,4.0,1.0,5.0,Coffee D
AlbR7B,25-34 years old,Male,Light,4.0,2.0,3.0,5.0,Coffee D
EPbVxA,18-24 years old,Female,Light,3.0,4.0,3.0,5.0,Coffee B
BGboo4,25-34 years old,Male,Light,3.0,3.0,2.0,5.0,Coffee C
dY2GGD,25-34 years old,Female,Dark,4.0,4.0,5.0,2.0,Coffee C
oAV8o5,25-34 years old,Female,Medium,2.0,3.0,3.0,1.0,Coffee C
WApa9N,18-24 years old,Male,Medium,1.0,3.0,5.0,4.0,Coffee C
BGbJE5,25-34 years old,Male,Dark,1.0,2.0,3.0,3.0,Coffee D
0EjzA9,35-44 years old,Male,Light,4.0,5.0,3.0,5.0,Coffee D
vNx6YX,25-34 years old,Female,Medium,4.0,5.0,2.0,1.0,Coffee B
WApaAQ,25-34 years old,Male,Light,4.0,1.0,3.0,5.0,Coffee B
J2krZX,25-34 years old,Male,Light,4.0,2.0,3.0,5.0,Coffee D
oAVN6V,35-44 years old,Male,Light,2.0,4.0,3.0,3.0,Coffee D
VZ1WVN,25-34 years old,Male,Light,4.0,2.0,3.0,5.0,Coffee D
42Nlko,25-34 years old,Male,Light,3.0,2.0,3.0,4.0,Coffee D
RzBq4P,35-44 years old,Male,Light,5.0,3.0,3.0,5.0,Coffee D
1r2QM4,25-34 years old,Male,Medium,4.0,5.0,2.0,5.0,Coffee D
LdM4d2,25-34 years old,Female,Medium,2.0,3.0,5.0,2.0,Coffee C
42N0dB,35-44 years old,Male,Medium,3.0,4.0,3.0,1.0,Coffee C
jB98M9,25-34 years old,Male,Nordic,5.0,2.0,3.0,4.0,Coffee A
1r205O,35-44 years old,Female,Medium,5.0,4.0,3.0,1.0,Coffee A
5dq0yE,35-44 years old,Male,Light,4.0,1.0,3.0,5.0,Coffee D
YZzb4N,25-34 years old,Male,Light,5.0,4.0,3.0,5.0,Coffee A
QABq7Y,35-44 years old,Male,Light,4.0,3.0,2.0,5.0,Coffee D
PABQDd,25-34 years old,Male,Light,4.0,3.0,2.0,5.0,Coffee D
9dJY7E,25-34 years old,Male,Medium,3.0,4.0,5.0,3.0,Coffee C
24xYgM,18-24 years old,Male,Dark,3.0,5.0,1.0,3.0,Coffee B
KMB25K,25-34 years old,Male,Light,5.0,3.0,3.0,5.0,Coffee D
GrBEvo,25-34 years old,Male,Light,4.0,2.0,3.0,4.0,Coffee D
rlrQrv,25-34 years old,Female,Medium,4.0,3.0,4.0,1.0,Coffee C
LdMxpz,25-34 years old,Male,Light,4.0,4.0,3.0,3.0,Coffee B
ZdRblA,25-34 years old,Male,Medium,5.0,4.0,1.0,3.0,Coffee A
bl4My7,25-34 years old,Male,Light,3.0,5.0,2.0,4.0,Coffee B
XeB72d,18-24 years old,Male,Light,3.0,4.0,4.0,2.0,Coffee C
zKQBXq,25-34 years old,Male,Medium,4.0,5.0,3.0,4.0,Coffee B
rlr9Yv,18-24 years old,Male,Medium,2.0,3.0,4.0,1.0,Coffee C
dY2GNy,25-34 years old,Female,Medium,1.0,3.0,3.0,3.0,Coffee D
zKQA18,18-24 years old,Non-binary,Medium,3.0,2.0,4.0,5.0,Coffee D
ZdRAAV,35-44 years old,Male,Light,3.0,2.0,1.0,5.0,Coffee D
VZ17Ev,25-34 years old,Female,Light,3.0,2.0,3.0,4.0,Coffee D
NAB2Ab,25-34 years old,Male,Medium,4.0,2.0,2.0,5.0,Coffee D
rlr9yM,25-34 years old,Male,Light,4.0,3.0,2.0,5.0,Coffee D
5dqYbv,35-44 years old,Male,Medium,5.0,5.0,4.0,2.0,Coffee A
AlbRKW,35-44 years old,Male,Medium,4.0,2.0,3.0,4.0,Coffee D
ylqb6X,25-34 years old,Male,Medium,3.0,4.0,2.0,5.0,Coffee D
dY2o6d,25-34 years old,,Dark,3.0,4.0,4.0,2.0,Coffee C
dY2oKz,45-54 years old,Male,Dark,2.0,4.0,4.0,1.0,Coffee B
oAVN61,25-34 years old,Male,Light,3.0,1.0,2.0,4.0,Coffee D
rlr9yv,35-44 years old,Male,Light,5.0,4.0,3.0,4.0,Coffee A
kYR4Nr,18-24 years old,Male,Light,2.0,4.0,3.0,4.0,Coffee B
zKQ4kq,45-54 years old,Male,Medium,1.0,4.0,3.0,5.0,Coffee D
RzBeoP,<18 years old,Male,Light,4.0,3.0,3.0,5.0,Coffee D
24xYJL,18-24 years old,Male,Light,3.0,2.0,3.0,4.0,Coffee D
ZdRAWA,45-54 years old,Male,Medium,2.0,4.0,5.0,3.0,Coffee C
rlr9OL,25-34 years old,Male,Medium,4.0,3.0,3.0,5.0,Coffee D
PABQdQ,55-64 years old,Female,Dark,4.0,3.0,2.0,1.0,Coffee A
1r20NQ,25-34 years old,Male,Light,5.0,1.0,3.0,4.0,Coffee A
qbEqj2,35-44 years old,Male,Medium,2.0,4.0,3.0,3.0,Coffee B
g5NV9P,35-44 years old,Male,Medium,2.0,4.0,3.0,5.0,Coffee D
42NY8Y,25-34 years old,Male,Light,2.0,1.0,3.0,5.0,Coffee D
GrBVJp,35-44 years old,Female,Medium,1.0,5.0,3.0,2.0,Coffee D
7d90RL,18-24 years old,Male,Light,2.0,3.0,3.0,4.0,Coffee D
lNl8WV,18-24 years old,Female,Light,2.0,3.0,5.0,3.0,Coffee B
vNxaEA,45-54 years old,Male,Light,4.0,2.0,3.0,5.0,Coffee D
0EjY5P,25-34 years old,Male,Light,4.0,3.0,2.0,5.0,Coffee D
eBxO5q,18-24 years old,Non-binary,Medium,1.0,5.0,2.0,3.0,Coffee B
blx47Z,18-24 years old,,Light,4.0,3.0,4.0,5.0,Coffee D
lNlXyB,45-54 years old,Female,Medium,5.0,4.0,2.0,4.0,Coffee C
1r2Yx4,25-34 years old,Male,Light,5.0,2.0,1.0,4.0,Coffee A
1r20WM,35-44 years old,Male,Medium,3.0,3.0,2.0,2.0,Coffee A
J2krad,25-34 years old,Male,Light,4.0,2.0,3.0,5.0,Coffee D
DVvo05,18-24 years old,Male,Light,2.0,2.0,4.0,4.0,Coffee C
VZ1aJj,25-34 years old,Male,Medium,4.0,3.0,3.0,5.0,Coffee B
aBrJxZ,35-44 years old,Male,Medium,3.0,5.0,4.0,1.0,Coffee B
9dJ0qG,25-34 years old,Male,Light,4.0,2.0,2.0,5.0,Coffee D
PABN1x,25-34 years old,Male,Medium,2.0,4.0,2.0,4.0,Coffee B
8dpDDk,25-34 years old,Male,Light,3.0,2.0,2.0,4.0,Coffee D
qA2y0O,18-24 years old,,French,2.0,4.0,4.0,4.0,Coffee A
VZ1WYN,25-34 years old,Male,Light,4.0,3.0,1.0,3.0,Coffee A
vNx8El,35-44 years old,,Nordic,3.0,1.0,1.0,4.0,Coffee D
jB98WY,25-34 years old,Female,Light,3.0,3.0,4.0,2.0,Coffee C
bl41zZ,18-24 years old,,Light,2.0,3.0,2.0,5.0,Coffee D
xdN8yk,25-34 years old,Male,Light,4.0,5.0,3.0,1.0,Coffee B
rlr8LX,45-54 years old,Male,Medium,3.0,4.0,3.0,1.0,Coffee B
pLPY01,45-54 years old,,Light,4.0,1.0,3.0,5.0,Coffee D
GrBODO,>65 years old,Female,Medium,5.0,3.0,3.0,1.0,Coffee A
7d97a0,25-34 years old,Male,Light,3.0,2.0,2.0,4.0,Coffee D
WApale,45-54 years old,Male,Medium,2.0,4.0,3.0,1.0,Coffee B
oAV8dN,25-34 years old,Male,Medium,3.0,4.0,4.0,2.0,Coffee C
0Ejqaj,25-34 years old,,Medium,5.0,3.0,2.0,2.0,Coffee A
5dqaeZ,25-34 years old,Male,Dark,3.0,2.0,5.0,4.0,Coffee C
g5N8v4,35-44 years old,Male,Light,3.0,2.0,3.0,5.0,Coffee D
oAV8lb,35-44 years old,Male,Light,5.0,3.0,3.0,4.0,Coffee A
AlbMyz,55-64 years old,,Medium,5.0,3.0,3.0,3.0,Coffee A
jB9871,45-54 years old,Male,Medium,2.0,3.0,2.0,4.0,Coffee D
9dJA2E,18-24 years old,Male,Light,4.0,2.0,3.0,5.0,Coffee D
PABZBx,25-34 years old,Male,Light,2.0,4.0,3.0,3.0,Coffee B
DVvRWR,25-34 years old,Male,Light,4.0,2.0,3.0,5.0,Coffee D
dY2JDV,25-34 years old,Male,Light,4.0,2.0,1.0,5.0,Coffee D
bl41Y1,25-34 years old,Male,Medium,2.0,4.0,2.0,1.0,Coffee B
rlr8vR,25-34 years old,Male,Light,5.0,1.0,3.0,5.0,Coffee D
xdN89d,45-54 years old,Male,Light,5.0,2.0,3.0,4.0,Coffee A
kYR8Jo,35-44 years old,Male,Light,3.0,2.0,3.0,5.0,Coffee D
YZz7xW,25-34 years old,Male,Light,1.0,2.0,2.0,3.0,Coffee D
RzBq29,35-44 years old,,Light,4.0,3.0,5.0,,Coffee C
rlr8k2,35-44 years old,Male,Light,5.0,3.0,3.0,3.0,Coffee A
7d97ER,25-34 years old,Male,Light,5.0,3.0,2.0,1.0,Coffee A
GrBOBO,25-34 years old,Male,Medium,3.0,2.0,4.0,1.0,Coffee C
42NlPr,25-34 years old,Male,Light,3.0,3.0,5.0,4.0,Coffee B
XeB6OP,25-34 years old,Female,Light,4.0,2.0,1.0,5.0,Coffee D
VZ1W4y,25-34 years old,Male,Light,4.0,3.0,4.0,1.0,Coffee A
kYR8ve,25-34 years old,Male,Medium,5.0,2.0,3.0,4.0,Coffee A
YZz7oN,35-44 years old,Male,Light,4.0,3.0,2.0,5.0,Coffee D
OABxYM,25-34 years old,Male,Light,4.0,3.0,5.0,2.0,Coffee C
xdN8lv,18-24 years old,Male,Light,2.0,2.0,4.0,3.0,Coffee C
eBxgYk,25-34 years old,Male,Light,2.0,2.0,4.0,1.0,Coffee D
RzBqj9,25-34 years old,Female,Medium,3.0,4.0,4.0,1.0,Coffee A
1r2QGg,35-44 years old,Male,Light,4.0,1.0,2.0,5.0,Coffee D
pLPYZJ,45-54 years old,,Light,3.0,1.0,4.0,5.0,Coffee D
MAdj6k,18-24 years old,Male,Nordic,4.0,2.0,2.0,5.0,Coffee D
OABxER,18-24 years old,Male,Light,1.0,3.0,3.0,4.0,Coffee A
BGbJ0K,25-34 years old,Male,Medium,3.0,4.0,5.0,2.0,Coffee C
qbE8jO,45-54 years old,Male,Medium,2.0,3.0,4.0,5.0,Coffee D
kYR8ze,>65 years old,Male,Medium,4.0,5.0,4.0,1.0,Coffee B
GrBODQ,45-54 years old,Male,Dark,3.0,2.0,3.0,1.0,Coffee D
vNx8KD,35-44 years old,Male,Light,4.0,2.0,5.0,3.0,Coffee C
oAV8VN,35-44 years old,Male,Light,4.0,2.0,2.0,4.0,Coffee D
VZ1Wxg,35-44 years old,Male,Light,5.0,2.0,3.0,4.0,Coffee A
24x9Oe,25-34 years old,Male,Light,4.0,3.0,4.0,5.0,Coffee D
KMBrO8,55-64 years old,Male,Medium,4.0,2.0,3.0,5.0,Coffee D
WApa1v,18-24 years old,Male,Medium,2.0,5.0,4.0,3.0,Coffee A
bl41gL,25-34 years old,Female,Italian,2.0,3.0,4.0,1.0,Coffee D
EPbovB,25-34 years old,Female,Medium,5.0,1.0,3.0,2.0,Coffee A
ylq8e8,55-64 years old,Female,Dark,4.0,2.0,3.0,4.0,Coffee A
24x9ZL,35-44 years old,Male,Medium,5.0,3.0,2.0,4.0,Coffee A
MAdjGM,35-44 years old,Male,Light,3.0,2.0,4.0,5.0,Coffee D
24x9Zj,35-44 years old,Male,Medium,4.0,2.0,1.0,3.0,Coffee A
rlr8kR,25-34 years old,Female,Light,2.0,4.0,5.0,3.0,Coffee C
g5N8pl,25-34 years old,Male,Blonde,5.0,2.0,3.0,4.0,Coffee A
rlr8qN,55-64 years old,Male,Medium,2.0,3.0,4.0,1.0,Coffee C
ylq87g,25-34 years old,Male,Light,3.0,3.0,4.0,2.0,Coffee C
GrBO7Z,35-44 years old,Male,Light,5.0,2.0,3.0,4.0,Coffee A
NAB2Rj,35-44 years old,Male,Medium,4.0,2.0,3.0,5.0,Coffee D
RzBqkj,35-44 years old,Male,Light,4.0,3.0,1.0,5.0,Coffee D
xdN86r,18-24 years old,Male,Light,4.0,3.0,2.0,5.0,Coffee D
9dJArQ,25-34 years old,Female,Medium,3.0,1.0,5.0,4.0,Coffee C
EPboa4,35-44 years old,Female,Medium,3.0,4.0,4.0,2.0,Coffee B
WApaQN,18-24 years old,Female,Medium,4.0,2.0,2.0,5.0,Coffee D
42NlN5,35-44 years old,Female,Dark,3.0,3.0,3.0,3.0,Coffee A
AlbM50,25-34 years old,Male,Light,3.0,4.0,4.0,2.0,Coffee B
QABNap,35-44 years old,Male,Medium,3.0,2.0,2.0,5.0,Coffee D
dY2Jkd,45-54 years old,Female,Medium,4.0,4.0,3.0,1.0,Coffee D
RzBqr9,18-24 years old,Male,Light,4.0,3.0,2.0,4.0,Coffee A
lNl89W,18-24 years old,Female,Light,1.0,3.0,4.0,2.0,Coffee B
PABZGB,25-34 years old,Female,Light,5.0,3.0,3.0,4.0,Coffee A
RzBqjj,25-34 years old,Male,Light,3.0,2.0,2.0,4.0,Coffee B
LdM4ov,25-34 years old,Male,Nordic,5.0,3.0,2.0,5.0,Coffee A
GrBO5k,55-64 years old,Male,Light,4.0,3.0,2.0,3.0,Coffee A
ZdRbWo,25-34 years old,Female,Medium,1.0,5.0,5.0,5.0,Coffee C
AlbMQD,25-34 years old,Female,Medium,4.0,3.0,5.0,2.0,Coffee C
42NlqX,45-54 years old,Male,Medium,2.0,3.0,4.0,3.0,Coffee C
24x9D9,35-44 years old,Female,Light,1.0,4.0,4.0,3.0,Coffee A
oAV81V,35-44 years old,,Light,2.0,2.0,3.0,5.0,Coffee D
QABNE7,25-34 years old,Male,Light,2.0,4.0,3.0,5.0,Coffee D
6dQ6QN,25-34 years old,Male,Light,4.0,1.0,2.0,5.0,Coffee D
KMBrkV,25-34 years old,Male,Medium,4.0,2.0,3.0,4.0,Coffee A
g5N8NJ,25-34 years old,Female,Dark,4.0,3.0,3.0,5.0,Coffee D
aBrpab,25-34 years old,Non-binary,Dark,2.0,5.0,3.0,2.0,Coffee B
OABxVR,55-64 years old,,Medium,3.0,5.0,4.0,2.0,Coffee B
aBrpPq,35-44 years old,,Light,3.0,4.0,3.0,4.0,Coffee D
bl41vZ,55-64 years old,Female,Medium,1.0,4.0,5.0,3.0,Coffee C
oAV8kO,>65 years old,,Dark,3.0,5.0,2.0,1.0,Coffee B
qbE8NG,25-34 years old,Male,Medium,2.0,4.0,3.0,3.0,Coffee B
eBxgoe,25-34 years old,Male,Light,4.0,3.0,2.0,3.0,Coffee C
aBrpkB,25-34 years old,Female,Dark,4.0,3.0,2.0,5.0,Coffee D
vNx8g0,25-34 years old,Male,Medium,4.0,2.0,3.0,5.0,Coffee D
NAB2Ol,25-34 years old,Female,Light,5.0,1.0,3.0,4.0,Coffee A
GrBObk,25-34 years old,Male,Medium,2.0,4.0,5.0,4.0,Coffee A
kYR8x1,25-34 years old,Female,Dark,2.0,5.0,3.0,1.0,Coffee B
g5N8z4,18-24 years old,Other (please specify),Dark,1.0,2.0,4.0,3.0,Coffee C
lNl8zv,25-34 years old,Male,Light,4.0,3.0,5.0,4.0,Coffee C
jB98z4,18-24 years old,Male,Light,3.0,1.0,5.0,4.0,Coffee C
RzBqVj,45-54 years old,Male,Medium,3.0,3.0,4.0,5.0,Coffee D
BGbJ6Q,35-44 years old,Male,Medium,3.0,2.0,3.0,4.0,Coffee D
5dqagd,45-54 years old,,Light,3.0,4.0,4.0,5.0,Coffee D
QABN8Y,25-34 years old,Female,Medium,4.0,1.0,5.0,3.0,Coffee C
24x9o9,35-44 years old,Male,Medium,4.0,2.0,1.0,3.0,Coffee A
BGbJ9Q,25-34 years old,Female,Light,4.0,1.0,3.0,5.0,Coffee D
PABZrV,25-34 years old,Male,Nordic,5.0,3.0,2.0,5.0,Coffee A
lNl84k,25-34 years old,Male,Medium,4.0,2.0,2.0,2.0,Coffee B
rlr8YR,45-54 years old,Male,Light,4.0,3.0,2.0,5.0,Coffee D
zKQ8L0,25-34 years old,Male,Light,4.0,3.0,2.0,5.0,Coffee D
NAB2El,35-44 years old,Male,Dark,4.0,3.0,2.0,1.0,Coffee A
9dJAMV,25-34 years old,Male,Light,5.0,2.0,1.0,4.0,Coffee A
YZz79J,25-34 years old,Female,Light,2.0,3.0,5.0,3.0,Coffee C
5dqaod,25-34 years old,Male,Light,3.0,2.0,3.0,4.0,Coffee B
GrBOgp,35-44 years old,Male,Dark,3.0,5.0,4.0,2.0,Coffee B
dY2Jgo,25-34 years old,Female,Medium,5.0,4.0,3.0,5.0,Coffee C
AlbMAe,25-34 years old,Male,Light,1.0,2.0,3.0,5.0,Coffee D
XeB6d4,25-34 years old,Male,Nordic,3.0,1.0,3.0,4.0,Coffee D
QABNX8,25-34 years old,Female,Medium,4.0,2.0,3.0,5.0,Coffee D
1r2QBp,55-64 years old,Female,Light,5.0,3.0,2.0,5.0,Coffee D
VZ1WY6,35-44 years old,Prefer not to say,Light,2.0,3.0,5.0,3.0,Coffee C
LdM4Vv,55-64 years old,Female,Dark,2.0,2.0,5.0,1.0,Coffee C
6dQ6MJ,45-54 years old,Female,Medium,5.0,4.0,3.0,2.0,Coffee A
oAV8vx,25-34 years old,Male,Light,3.0,5.0,4.0,5.0,Coffee D
oAV8gP,25-34 years old,Male,Dark,2.0,4.0,5.0,3.0,Coffee C
EPboJ2,25-34 years old,Male,Light,5.0,3.0,4.0,4.0,Coffee C
MAdjVA,25-34 years old,Male,Medium,3.0,5.0,1.0,5.0,Coffee B
EPboEX,25-34 years old,Male,Medium,4.0,5.0,3.0,1.0,Coffee B
6dQ64k,35-44 years old,Male,Medium,4.0,5.0,2.0,5.0,Coffee B
NAB240,55-64 years old,Male,Light,5.0,3.0,2.0,4.0,Coffee A
pLPYzB,55-64 years old,Male,Light,4.0,1.0,2.0,3.0,Coffee B
OABxEg,55-64 years old,Male,Dark,1.0,5.0,4.0,3.0,Coffee B
NAB2gB,25-34 years old,Male,Light,4.0,1.0,3.0,2.0,Coffee A
vNx8vQ,25-34 years old,Female,Light,3.0,5.0,3.0,1.0,Coffee B
LdM4yj,45-54 years old,,Medium,1.0,1.0,,4.0,Coffee D
qbE8k9,35-44 years old,Male,Light,4.0,1.0,3.0,4.0,Coffee D
qbE8v9,25-34 years old,Male,Dark,5.0,3.0,4.0,5.0,Coffee D
dY2J8d,45-54 years old,Male,Light,4.0,2.0,3.0,5.0,Coffee D
jB98Yx,35-44 years old,Female,Light,4.0,2.0,3.0,1.0,Coffee A
rlr8gN,25-34 years old,Male,Medium,1.0,4.0,5.0,3.0,Coffee C
XeB6Ng,45-54 years old,Male,Medium,4.0,4.0,5.0,3.0,Coffee C
OABx97,45-54 years old,Female,Medium,5.0,1.0,4.0,1.0,Coffee A
42NlEX,25-34 years old,Male,Light,4.0,3.0,2.0,5.0,Coffee D
LdM4al,25-34 years old,Male,Medium,5.0,3.0,2.0,4.0,Coffee A
ZdRbDB,18-24 years old,Male,Medium,5.0,2.0,4.0,2.0,Coffee A
6dQ6Vk,25-34 years old,Male,Light,2.0,4.0,3.0,3.0,Coffee B
8dpbVx,18-24 years old,Male,Medium,4.0,5.0,3.0,2.0,Coffee D
6dQ65P,>65 years old,Prefer not to say,Dark,2.0,3.0,4.0,1.0,Coffee C
